City,Latitude,Longitude
Mumbai,19.0785451,72.878176
Bengaluru,12.98815675,77.62260003796
Hyderabad,17.360589,78.4740613
Bengaluru,12.98815675,77.62260003796
Fatepura,23.9319264,72.5821336
Chennai,13.0836939,80.270186
Tondiarpet,13.1277669,80.2895845
Bengaluru,12.98815675,77.62260003796
Pune,18.521428,73.8544541
Mumbai,19.0785451,72.878176
Pune,18.521428,73.8544541
Hyderabad,17.360589,78.4740613
Greater Delhi Area,,
Thane,19.1943294,72.9701779
Greater Bengaluru Area,,
Kolkata,22.5726459,88.3638953
Bengaluru,12.98815675,77.62260003796
Gurugram,28.4646148,77.0299194
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Hyderabad,17.360589,78.4740613
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Hyderabad,17.360589,78.4740613
Punjab,30.9293211,75.5004841
Pune,18.521428,73.8544541
Pune/Pimpri-Chinchwad Area,,
Jaipur,26.9154576,75.8189817
Surat,21.1702,72.8311
Madurai,9.9261153,78.1140983
Gurugram,28.4646148,77.0299194
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Hyderabad,17.360589,78.4740613
Bengaluru,12.98815675,77.62260003796
Pune,18.521428,73.8544541
Bengaluru,12.98815675,77.62260003796
Hyderabad,17.360589,78.4740613
Bengaluru,12.98815675,77.62260003796
Pune,18.521428,73.8544541
Hyderabad,17.360589,78.4740613
New Delhi,28.6138954,77.2090057
Ahmedabad,23.0216238,72.5797068
Visakhapatnam,17.7231276,83.3012842
Indore,22.7203616,75.8681996
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Hyderabad,17.360589,78.4740613
Gurugram,28.4646148,77.0299194
Bangalore Urban,13.0,77.583333
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Hyderabad,17.360589,78.4740613
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Noida,28.5706333,77.3272147
Gurugram,28.4646148,77.0299194
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Greater Bhopal Area,,
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Udaipur,24.578721,73.6862571
Faridabad,28.4031478,77.3105561
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
New Delhi,28.6138954,77.2090057
Kanpur,26.4609135,80.3217588
Bangalore Urban,13.0,77.583333
Chennai,13.0836939,80.270186
Gurgaon,28.4646148,77.0299194
Hyderabad,17.360589,78.4740613
Pune,18.521428,73.8544541
Indore,22.7203616,75.8681996
Greater Bhopal Area,,
Bengaluru,12.98815675,77.62260003796
Gurugram,28.4646148,77.0299194
Bengaluru,12.98815675,77.62260003796
Chandigarh,30.72984395,76.78414567016054
Hyderabad,17.360589,78.4740613
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Bengaluru,12.98815675,77.62260003796
Pune,18.521428,73.8544541
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Punjab,30.9293211,75.5004841
Mumbai,19.0785451,72.878176
Bengaluru,12.98815675,77.62260003796
Hyderabad,17.360589,78.4740613
Bengaluru,12.98815675,77.62260003796
Jaipur,26.9154576,75.8189817
Gurugram,28.4646148,77.0299194
Bengaluru,12.98815675,77.62260003796
Pune/Pimpri-Chinchwad Area,,
Chennai,13.0836939,80.270186
Chennai,13.0836939,80.270186
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Pune,18.521428,73.8544541
Bengaluru,12.98815675,77.62260003796
Chennai,13.0836939,80.270186
Hyderabad,17.360589,78.4740613
New Delhi,28.6138954,77.2090057
New Delhi,28.6138954,77.2090057
Gurugram,28.4646148,77.0299194
Bengaluru,12.98815675,77.62260003796
Hyderabad,17.360589,78.4740613
Chennai,13.0836939,80.270186
Bengaluru,12.98815675,77.62260003796
Jammu,32.7185614,74.8580917
Noida,28.5706333,77.3272147
Greater Delhi Area,,
Noida,28.5706333,77.3272147
Mumbai,19.0785451,72.878176
Bengaluru,12.98815675,77.62260003796
Hyderabad,17.360589,78.4740613
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Delhi,28.6273928,77.1716954
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Hyderabad,17.360589,78.4740613
Gurgaon,28.4646148,77.0299194
Bengaluru,12.98815675,77.62260003796
Navi Mumbai,19.0308262,73.0198537
Mumbai,19.0785451,72.878176
Mumbai,19.0785451,72.878176
Telangana,17.8495919,79.1151663
Bengaluru East,13.0011462,77.6183453
Mumbai,19.0785451,72.878176
Bengaluru,12.98815675,77.62260003796
Pune,18.521428,73.8544541
Bengaluru,12.98815675,77.62260003796
Delhi,28.6273928,77.1716954
Mumbai,19.0785451,72.878176
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Bengaluru,12.98815675,77.62260003796
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Greater Jodhpur Area,,
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Ahmedabad,23.0216238,72.5797068
Bengaluru,12.98815675,77.62260003796
Chennai,13.0836939,80.270186
Gurgaon,28.4646148,77.0299194
Karnataka,14.5203896,75.7223521
Gurugram,28.4646148,77.0299194
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Bengaluru,12.98815675,77.62260003796
Bengaluru,12.98815675,77.62260003796
Tondiarpet,13.1277669,80.2895845
Mumbai,19.0785451,72.878176
Chennai,13.0836939,80.270186
Hyderabad,17.360589,78.4740613
Bengaluru,12.98815675,77.62260003796
Gurgaon,28.4646148,77.0299194
Hyderabad,17.360589,78.4740613
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Hyderabad,17.360589,78.4740613
Greater Jodhpur Area,,
Hyderabad,17.360589,78.4740613
Hyderabad,17.360589,78.4740613
Punjab,30.9293211,75.5004841
Mumbai Metropolitan Region,19.08228565,73.15177074834152
Mumbai,19.0785451,72.878176
Bengaluru,12.98815675,77.62260003796
Rajasthan,26.8105777,73.7684549
Jaipur,26.9154576,75.8189817
Jaipur,26.9154576,75.8189817
Pune,18.521428,73.8544541
Gurugram,28.4646148,77.0299194
Pune,18.521428,73.8544541
Jaipur,26.9154576,75.8189817
Pune,18.521428,73.8544541
